# 30 sensors for the pseudo-random-wave comparison run.
# Five lie on the cross-section row y = 76 km so the field GIFs and
# cross-sections show multiple observation locations; the rest provide
# broader spatial coverage across the domain.
# Columns: x (m), y (m).
20000.0, 20000.0
50000.0, 20000.0
80000.0, 20000.0
110000.0, 20000.0
140000.0, 20000.0
20000.0, 50000.0
50000.0, 50000.0
80000.0, 50000.0
110000.0, 50000.0
140000.0, 50000.0
20000.0, 76000.0
50000.0, 76000.0
80000.0, 76000.0
110000.0, 76000.0
140000.0, 76000.0
20000.0, 110000.0
50000.0, 110000.0
80000.0, 110000.0
110000.0, 110000.0
140000.0, 110000.0
20000.0, 140000.0
50000.0, 140000.0
80000.0, 140000.0
110000.0, 140000.0
140000.0, 140000.0
30000.0, 90000.0
60000.0, 30000.0
100000.0, 130000.0
130000.0, 60000.0
150000.0, 90000.0
