# Auto-generated for experiment_07b_n_obs_sweep_seed2.jl (n=50).
# Columns: x (m), y (m).
102000.0, 26000.0
70000.0, 10000.0
86000.0, 26000.0
74000.0, 70000.0
38000.0, 118000.0
122000.0, 2000.0
2000.0, 130000.0
46000.0, 150000.0
62000.0, 142000.0
26000.0, 114000.0
154000.0, 46000.0
94000.0, 154000.0
42000.0, 82000.0
142000.0, 62000.0
54000.0, 18000.0
142000.0, 50000.0
110000.0, 90000.0
86000.0, 110000.0
6000.0, 22000.0
26000.0, 98000.0
126000.0, 158000.0
18000.0, 46000.0
142000.0, 86000.0
54000.0, 14000.0
122000.0, 102000.0
114000.0, 26000.0
30000.0, 94000.0
58000.0, 90000.0
50000.0, 90000.0
154000.0, 2000.0
102000.0, 38000.0
138000.0, 94000.0
134000.0, 118000.0
130000.0, 90000.0
102000.0, 14000.0
82000.0, 50000.0
30000.0, 106000.0
6000.0, 62000.0
46000.0, 122000.0
146000.0, 146000.0
122000.0, 130000.0
154000.0, 2000.0
94000.0, 118000.0
34000.0, 70000.0
126000.0, 70000.0
138000.0, 70000.0
142000.0, 114000.0
10000.0, 150000.0
138000.0, 30000.0
38000.0, 150000.0
